name,gps_time,mass_1,mass_2,mass_final,spin_final,distance,snr,detectors,catalog,classification
GW150914,1126259462.4,35.6,30.6,63.1,0.69,440,24.4,"H1,L1",GWTC-1,BBH
GW151012,1128678900.4,23.2,13.6,35.6,0.67,1060,9.5,"H1,L1",GWTC-1,BBH
GW151226,1135136350.6,13.7,7.7,20.5,0.74,440,13.0,"H1,L1",GWTC-1,BBH
GW170104,1167559936.6,30.8,20.0,48.9,0.66,960,13.0,"H1,L1",GWTC-1,BBH
GW170729,1185389807.3,50.2,34.0,79.5,0.81,2750,10.8,"H1,L1,V1",GWTC-1,BBH
GW170809,1186302519.8,35.0,23.8,56.3,0.7,990,12.4,"H1,L1,V1",GWTC-1,BBH
GW170814,1186741861.5,30.6,25.2,53.2,0.72,580,15.9,"H1,L1,V1",GWTC-1,BBH
GW170818,1187058327.1,35.4,26.7,59.4,0.67,1020,11.3,"H1,L1,V1",GWTC-1,BBH
GW170823,1187529256.5,39.5,29.0,65.4,0.72,1850,11.5,"H1,L1",GWTC-1,BBH
GW190412,1239082262.2,30.1,8.3,37.0,0.43,740,19.1,"H1,L1,V1",GWTC-2,BBH
GW190421_213856,1239917954.3,42.1,32.8,71.6,0.73,2240,10.5,"H1,L1",GWTC-2,BBH
GW190503_185404,1240944862.3,43.3,28.9,68.6,0.69,1490,12.3,"H1,L1,V1",GWTC-2,BBH
GW190512_180714,1241719652.4,23.3,12.6,34.4,0.61,1370,12.8,"H1,L1,V1",GWTC-2,BBH
GW190513_205428,1241816086.8,35.7,18.0,51.0,0.6,2060,11.3,"H1,L1,V1",GWTC-2,BBH
GW190517_055101,1242107479.8,37.4,25.3,59.5,0.66,2420,10.7,"H1,L1",GWTC-2,BBH
GW190519_153544,1242315362.4,66.0,40.4,100.9,0.78,3000,14.0,"H1,L1,V1",GWTC-2,BBH
GW190521,1242442967.5,95.3,69.0,156.3,0.72,5300,14.3,"H1,L1,V1",GWTC-2,BBH
GW190602_175927,1243533585.1,69.1,47.9,111.2,0.77,3230,11.8,"H1,L1,V1",GWTC-2,BBH
GW190630_185205,1245955943.2,35.1,23.6,56.0,0.69,930,14.5,"H1,L1,V1",GWTC-2,BBH
GW190701_203306,1246048404.6,53.8,40.5,89.8,0.75,2530,10.5,"H1,L1,V1",GWTC-2,BBH
GW190706_222641,1246487219.3,67.0,38.2,99.7,0.74,4700,12.6,"H1,L1",GWTC-2,BBH
GW190708_232457,1246663515.4,17.6,13.2,29.4,0.71,880,13.1,"H1,L1,V1",GWTC-2,BBH
GW190719_215514,1247608532.9,36.5,22.7,56.2,0.63,4390,8.2,"H1,L1",GWTC-2,BBH
GW190720_000836,1247616534.7,13.4,7.8,20.3,0.67,850,10.4,"H1,L1,V1",GWTC-2,BBH
GW190727_060333,1248242631.9,38.0,27.0,61.9,0.68,3200,10.2,"H1,L1,V1",GWTC-2,BBH
GW190731_140936,1248617394.6,41.6,26.1,64.4,0.66,3510,8.5,"H1,L1",GWTC-2,BBH
GW190803_022701,1248834439.9,37.3,27.2,61.4,0.68,2630,8.4,"H1,L1,V1",GWTC-2,BBH
GW191109_010717,1257296855.2,65.0,47.0,106.3,0.78,1790,15.3,"H1,L1,V1",GWTC-3,BBH
GW191113_071753,1257667091.2,24.9,10.4,33.5,0.54,3150,8.0,"H1,L1",GWTC-3,BBH
GW191127_050227,1258779765.3,61.7,38.7,95.4,0.72,3410,8.2,"H1,L1",GWTC-3,BBH
GW191204_110529,1259320747.0,17.9,8.2,24.8,0.57,1320,8.4,"H1,L1",GWTC-3,BBH
GW191215_223052,1260660670.1,24.4,17.7,40.1,0.69,1250,10.2,"H1,L1,V1",GWTC-3,BBH
GW191222_033537,1261193755.3,41.5,25.7,64.0,0.65,2780,9.5,"H1,L1",GWTC-3,BBH
GW191230_180458,1261855516.5,44.9,25.9,67.2,0.63,2460,8.9,"H1,L1,V1",GWTC-3,BBH
GW200112_155838,1262876336.0,35.6,27.4,59.9,0.71,1470,12.5,"H1,L1,V1",GWTC-3,BBH
GW200128_022011,1264208429.2,40.9,24.9,62.7,0.65,2480,10.3,"H1,L1",GWTC-3,BBH
GW200129_065458,1264316116.4,34.5,28.3,59.6,0.71,920,18.3,"H1,L1,V1",GWTC-3,BBH
GW200208_130117,1265198495.3,37.7,25.4,60.1,0.67,2290,10.5,"H1,L1,V1",GWTC-3,BBH
